key,value
Recording Name,2018_02_17
Start Date,17.02.2018
Start Time,14:09:36
Duration Time,00:01:58
World Camera Frames,3306
World Camera Resolution,1280x720
Capture Software Version,1.2.7
Data Format Version,1.2.7
System Info,"User: yyd, Platform: Linux, Machine: yyd, Release: 4.13.0-32-generic, Version: #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018"
