key,value
Recording Name,2018_01_18
Start Date,18.01.2018
Start Time,21:19:39
Duration Time,00:00:34
World Camera Frames,1011
World Camera Resolution,1280x720
Capture Software Version,1.2.7
Data Format Version,1.2.7
System Info,"User: yyd, Platform: Linux, Machine: yyd, Release: 4.10.0-28-generic, Version: #32~16.04.2-Ubuntu SMP Thu Jul 20 10:19:48 UTC 2017"
